FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,
C101,101,89,862,2133.4833333333336,2158.5,2158.5,3.485,0.656,0.031,0.625,5451,
C101,51,52,444,902.6249999999999,924.4,924.4,1.078,0.172,0.266,0.156,2392,
C101,61,73,485,1174.8249999999998,1196.3,1196.3,1.532,0.25,0.39,0.235,3342,
C101,71,57,557,1377.625,1419.7,1419.7,1.391,0.625,0.375,0.625,4430,
C101,81,75,746,1654.6333333333334,1687.5,1687.5,2.125,0.922,0.031,0.906,4665,
C101,91,80,692,1843.6166666666675,1905.3999999999999,1905.3999999999999,2.5,0.859,0.032,0.828,5865,
C121,111,46,1011,4239.491666666667,4337.19999940454,4337.19999940454,3.453,3.328,0.047,3.281,9012,
C121,121,49,1072,4601.59375,4724.3,4724.3,1.312,4.516,0.032,4.468,9501,
C121,131,53,1158,4981.058333333334,5066.8,5066.8,1.766,2.156,0.031,2.109,10141,
C121,141,59,1175,5396.341666666666,5583.2,5583.2,2.579,97.743,0.047,97.675,11719,
C121,151,55,1195,5780.708333333332,5868.7,5868.7,2.031,4.0,0.047,3.984,12082,
C161,201,84,1813,14634.11666666666,14845.599999999999,14845.599999999999,5.218,17.641,0.094,17.547,13474,
C161,251,109,2273,18002.80972222223,18263.699999999997,18263.699999999997,9.219,42.4,0.125,42.306,21490,
C161,301,121,2564,21745.87083333335,22064.4,22064.4,14.957,65.893,0.203,65.769,25156,
C161,351,159,3238,25046.758333333342,25324.5,25324.5,24.833,145.701,0.25,145.419,29256,
R101,101,99,898,2004.1291666666668,2017.899999236357,2017.899999236357,3.797,0.844,0.031,0.828,4320,
R101,51,51,386,1123.8583333333336,1131.4,1131.4,0.782,0.093,0.0,0.063,0,
R101,61,59,446,1269.6000000000004,1275.7,1275.7,1.157,0.125,0.031,0.11,893,
R101,71,68,588,1528.3083333333336,1541.0,1541.0,1.594,0.468,0.016,0.453,2419,
R101,81,80,662,1703.9333333333334,1713.8,1713.8,2.225,0.547,0.031,0.547,2450,
R101,91,93,815,1872.9249999999995,1881.8,1881.8,3.141,0.344,0.031,0.344,2703,
R121,111,42,941,4398.5125,4425.8,4425.8,0.984,1.031,0.032,1.0,4737,
R121,121,43,940,4746.274999999998,4780.099999999999,4780.099999999999,1.047,0.75,0.047,0.734,5931,
R121,131,48,1057,5175.255555555554,5235.999999239465,5235.999999239465,1.39,2.0,0.047,1.984,8753,
R121,141,55,1158,5531.816666666665,5576.7,5576.7,1.891,1.469,0.046,1.454,8278,
R121,151,54,1217,5878.614204545458,5925.3,5925.3,2.078,2.5,0.063,2.468,9336,
R161,201,74,1720,15966.805555555562,16077.999999999998,16077.999999999998,4.502,3.719,0.093,3.656,13671,
R161,251,88,2098,19586.931250000005,19695.7,19695.7,7.406,9.641,0.156,9.531,17608,
R161,301,106,2520,23321.587538557622,23434.3,23434.3,13.329,9.375,0.188,9.282,22189,
R161,351,131,2980,27246.858333333326,27409.1,27409.1,20.273,21.071,0.25,20.913,27627,
RC101,101,93,893,2541.7749999999996,2548.1,2548.1,3.594,0.25,0.032,0.25,2183,
RC101,51,54,436,1521.9000000000003,1591.6,1591.6,0.844,0.234,0.016,0.234,3412,
RC101,61,59,483,1737.4833333333331,1775.399998287353,1775.399998287353,1.11,0.922,0.015,0.906,3083,
RC101,71,78,618,1896.091666666667,1917.8,1917.8,1.797,0.438,0.031,0.438,2538,
RC101,81,84,712,2182.5666666666666,2209.0,2209.0,2.437,1.36,0.016,1.344,3421,
RC101,91,82,806,2380.6983333333324,2403.7999999999997,2403.7999999999997,2.765,0.75,0.031,0.734,3857,
RC121,111,44,981,4409.316666666667,4419.200000000001,4419.200000000001,1.015,0.766,0.031,0.766,2511,
RC121,121,49,1045,4872.987878787877,4914.6,4914.6,1.219,2.64,0.031,2.625,7134,
RC121,131,52,1111,5314.138888888888,5345.7,5345.7,1.469,1.641,0.031,1.625,6548,
RC121,141,58,1284,5613.905555555553,5640.099994743801,5640.099994743801,1.969,2.359,0.032,2.328,6753,
RC121,151,55,1283,5990.870833333338,6080.000000000001,6080.000000000001,2.094,4.344,0.062,4.281,11705,
RC161,201,78,1690,15805.583333333334,15921.999999999998,15921.999999999998,4.592,5.401,0.092,5.316,14411,
RC161,251,88,2031,19196.894047619047,19381.3,19381.3,7.258,23.576,0.137,23.455,19773,
RC161,301,111,2542,22916.6046031746,23038.199999999997,23038.199999999997,13.122,13.25,0.188,13.142,23029,
RC161,351,143,3070,26757.253958333342,26902.6,26902.6,22.502,40.068,0.259,39.883,28744,
