FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,,
C101,51,57,949,719.9166667,725.1,725.1,1.094,0.422,0.156,0.406,2842,,
C101,61,70,1082,915.7111111,948.5,948.5,1.573,0.875,0.047,0.859,14908,,
C101,71,76,1352,1113.996,1125.9,1125.9,2.312,0.984,0.016,0.953,8789,,
C101,81,77,1322,1289.455,1290.2,1290.2,2.437,1.188,0.031,1.172,473,,
C101,91,86,1612,1480.76875,1524.1,1524.1,3.265,3.157,0.078,3.125,22683,,
C101,101,96,1830,1694.878333,1715.6,1715.6,4.297,1.657,0.078,1.641,16500,,
C121,111,139,2371,3307.838021,3359,3359,2.25,1.262,0.16,1.25,30621,,
C121,121,135,2602,3612.581667,3698,3698,9.219,11.814,3.391,11.767,39484,,
C121,131,136,2623,3882.761667,4027.3,4027.3,10.127,11.046,2.315,10.991,45294,,
C121,141,147,2916,4176.625,4321.2,4321.2,12.721,19.169,1.338,19.072,48671,,
C121,151,161,3271,4513.378171,4624.299999,4624.299999,15.595,34.325,0.579,34.231,49930,,
C161,201,211,4275,11378.67749,11631.59998,11631.59998,31.451,50.476,0.421,50.335,55984,,
C161,251,271,5690,13908.88285,14181.5,14181.5,62.058,116.297,0.563,116.078,87463,,
C161,301,327,6714,16651.23765,16885,16885,107.98,57.142,0.781,56.892,102647,,
C161,351,342,7791,19109.39996,19491.6,19491.6,149.619,571.551,1.094,570.67,125927,,
R101,51,57,816,918.1416667,944.8,944.8,0.984,0.813,0.031,0.797,8229,,
R101,61,70,1071,1029.85,1044.2,1044.2,1.578,0.297,0.031,0.281,4442,,
R101,71,76,1134,1236.675641,1256.7,1256.7,2.093,1.047,0.094,1.031,9728,,
R101,81,85,1414,1375.343333,1382.7,1382.7,2.797,0.39,0.063,0.375,3478,,
R101,91,99,1553,1510.589583,1537,1537,3.828,1.5,0.062,1.468,18341,,
R101,101,103,1727,1612.65,1628.2,1628.2,4.719,0.515,0.094,0.499,13087,,
R121,111,125,2105,3515.296429,3561.8,3561.8,6.656,3.969,0.156,3.937,22095,,
R121,121,128,2193,3777.286111,3831.3,3831.3,7.662,0.937,0.109,0.921,26999,,
R121,131,134,2382,4116.55162,4173.6,4173.6,9.172,3.406,0.141,3.36,30811,,
R121,141,155,2694,4382.168889,4422.3,4422.3,11.812,2.119,0.218,2.072,25678,,
R121,151,155,2936,4627.594231,4674.2,4674.2,13.622,4.795,0.187,4.757,30897,,
R161,201,201,3867,12503.81875,12657.5,12657.5,29.989,13.641,0.391,13.531,57911,,
R161,251,211,4732,15263.04213,15473.4,15473.4,48.693,80.217,0.969,79.998,81303,,
R161,301,259,5660,18122.34489,18270.3,18270.3,85.311,16.686,0.703,16.529,89701,,
