FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,,,
C101,51,21,421,903.1666667,933,920.8,1.371,0.468,0.277,1.98,3044,,,
R101,51,18,402,1125.5,1131.9,1131.1,0.216,0.182,0.019,0.518,703,,,
RC101,51,20,412,1517.413889,1564.4,1558.2,0.235,0.666,0.022,5.683,3525,,,
C101,61,29,535,1180.3,1184.7,1184.7,0.754,0.109,0.43,1.79,1370,,,
R101,61,24,501,1269.1,1270.6,1270.6,0.314,0.126,0.021,0.146,225,,,
RC101,61,24,517,1735.95,1770,1762.6,0.348,0.984,0.017,6.129,3095,,,
C101,71,26,572,1383.541667,1411.9,1407.6,0.784,1.063,0.036,15.519,4222,,,
R101,71,25,558,1528.713333,1539.8,1536.6,0.431,0.817,0.015,1.631,2125,,,
RC101,71,34,601,1910.216667,1915.8,1915.8,0.525,0.37,0.025,2.55,1362,,,
C101,81,37,666,1660.058333,1695.5,1683.899999,1.065,1.323,0.054,10.357,4917,,,
R101,81,29,652,1703.1,1714.3,1707.9,0.488,0.797,0.016,0.688,2614,,,
RC101,81,34,708,2187.683333,2199.3,2199.299997,0.599,0.878,0.018,7.41,2380,,,
C101,91,34,720,1859.466667,1882.3,1878.3,0.793,0.628,0.029,5.625,4798,,,
R101,91,34,749,1872.909211,1879,1876.8,0.639,0.725,0.024,0.718,1788,,,
RC101,91,32,683,2380.758333,2397.5,2390.8,0.605,0.536,0.023,3.954,3108,,,
C101,101,42,825,2139.833333,2168,2152.4,1.312,1.163,0.029,2.7,3784,,,
R101,101,34,775,2005.5,2015.4,2013,0.681,1.317,0.026,1.749,3348,,,
RC101,101,38,796,2532.1,2568.1,2546.099996,0.752,0.478,0.027,6.6,5352,,,
C121,111,45,1013,4226.575,4286.1,4274,0.993,3.008,0.034,14.862,8014,,,
R121,111,39,873,4398.838889,4422.2,4416.5,1.015,1.11,0.031,2.906,4078,,,
RC121,111,45,1015,4405.752778,4428.2,4417.2,1.031,1.079,0.031,7.61,4454,,,
X-n120-k6,120,49,1107,62120.08333,62562,62379,8.344,2.172,1.049,13.669,6977,0.139066667,0.0362,0.227816667
C121,121,52,1092,4604.045,4682.8,4652.1,1.321,6.716,0.041,25.412,9271,,,
R121,121,45,995,4748.758333,4774.3,4763.3,1.234,1.032,0.047,2.219,4962,,,
RC121,121,45,1039,4864.893056,4906.199997,4885.4,1.125,3.203,0.047,12.156,6731,,,
C121,131,56,1258,4998.197756,5070.5,5054.7,1.672,3.317,0.044,139.309,9436,,,
R121,131,47,1077,5176.127361,5216.4,5196.8,1.371,2.938,0.047,5.344,6917,,,
RC121,131,48,1096,5313.15,5335.8,5332.6,1.386,1.422,0.016,15.453,5275,,,
C121,141,56,1218,5391.523958,5553.2,5485.1,1.876,20.682,0.051,315.52,11866,,,
R121,141,50,1124,5525.258333,5567.5,5559.9,1.75,2.344,0.047,18.032,8190,,,
RC121,141,62,1278,5613.741667,5648.2,5628.6,2.172,3.985,0.046,17.86,7890,,,
C121,151,60,1259,5789.807778,5867.1,5839.1,2.195,4.453,0.048,231.868,12208,,,
R121,151,54,1213,5874.241458,5922,5902.299998,2.11,5.109,0.047,19.406,9039,,,
RC121,151,61,1348,5998.730556,6049,6020.1,2.328,5.75,0.062,11.073,9949,,,
X-n157-k13,157,66,1512,56787.91667,56916,56851,5.781,1.531,0.375,2.704,8054,0.09635,0.025516667,0.045066667
X-n181-k23,181,78,1752,59797.25,60179.99999,59926,4.326,15.026,0.074,28.919,11304,0.0721,0.250433333,0.481983333
C161,201,83,1736,14632.49167,14813.8,14745.2,5.16,19.719,0.094,270.145,16112,,,
R161,201,73,1680,15975.13519,16066.4,16021.7,4.843,2.89,0.094,8.266,12408,,,
RC161,201,80,1704,15813.51667,15911.2,15878.7,5.109,6.178,0.078,41.032,13315,,,
X-n219-k73,219,90,1995,119974.1667,120542,120289,6.522,5.141,0.109,40.314,14574,0.1087,0.085683333,0.6719
X-n237-k14,237,102,2207,126007.0914,126490,126250,8.344,59.165,0.125,303.961,14990,0.139066667,0.986083333,5.066016667
C161,251,101,2226,18004.65741,18276.9,18171.4,8.625,44.334,0.156,1113.465,20599,,,
R161,251,95,2097,19590.45583,19679.3,19633,8.234,8.702,0.14,51.178,16289,,,
RC161,251,96,2140,19201.6,19335.9,19272.7,7.984,11.107,0.125,126.809,18999,,,
X-n275-k28,275,102,2418,56754.36801,56917,56845,11.001,6.195,0.156,356.299,16101,0.18335,0.10325,5.938316667
C161,301,122,2792,21766.20398,22053.09999,21932.5,15.375,48.518,0.203,1105.447,23319,,,
R161,301,106,2501,23321.42506,23469.6,23372.6,13.173,20.297,0.188,64.617,23562,,,
RC161,301,114,2560,22911.58531,23109.1,22967.7,14.391,45.586,0.218,93.033,21348,,,
X-n317-k53,317,147,3110,171246.0833,171690,171481,21.818,1804.711,0.203,1803.788,20436,0.363633333,30.07851667,30.06313333
X-n331-k15,331,144,3190,185000.2778,185586,185191,22.32,18.074,0.265,14.725,22711,0.372,0.301233333,0.245416667
