FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,
C101,101,34,2105,1691.7474999999997,1727.1,1706.5,1.838,4.177,0.084,23.664,22726,
C101,51,22,1370,721.3,726.9000000000001,723.9,1.57,1.332,0.022,2.472,3451,
C101,61,30,1604,929.2523809523813,931.7000000000002,931.2,0.793,1.895,0.026,4.202,1522,
C101,71,30,1737,1113.9138725490195,1126.7,1123.6,0.846,1.826,0.035,12.047,9713,
C101,81,31,1808,1283.3822222222225,1292.6000000000001,1289.9,1.109,1.837,0.037,7.889,5284,
C101,91,33,2082,1456.7833333333335,1521.8000000000002,1505.3,4.114,4.452,0.08,43.17,22713,
C121,111,42,2598,3271.9788461538465,3383.3999999999996,3347.8999999999996,2.689,5.213,0.129,77.45,30749,
C121,121,50,2988,3617.7779166666674,3697.2,3666.6999999999994,3.769,14.997,0.133,533.0,38411,
C121,131,53,3156,3883.9900694444455,3947.9,3930.5,4.835,7.859,0.154,48.033,37484,
C121,141,57,3290,4170.733333333333,4307.499993204353,4250.400000000001,5.636,18.814,0.23,1801.226,48653,
C121,151,62,3849,4498.813492063493,4636.4,4569.200000000001,7.013,59.132,0.242,1320.778,51330,
C161,201,79,4718,11372.901296296292,11636.099999037115,11475.0,15.093,61.257,0.359,232.543,67710,
C161,251,101,5871,13889.076661706351,14264.799999999997,14054.2,31.052,138.152,0.562,1801.768,86116,
C161,301,128,7194,16641.69671807759,16915.399999999998,16835.6,54.106,90.057,0.781,1801.978,102548,
C161,351,139,7996,19103.760413943335,19457.5,19329.8,77.156,487.315,1.047,1802.695,127956,
R101,101,36,2276,1612.7367816091955,1626.4999999999998,1619.3,2.164,1.532,0.077,1.259,11283,
R101,51,17,1199,916.8125000000001,930.8000000000002,928.1,0.321,0.654,0.02,1.196,3420,
R101,61,21,1494,1029.7900000000002,1044.0,1037.5,0.512,0.263,0.035,1.163,4513,
R101,71,24,1640,1235.64,1246.8,1244.3,0.806,0.781,0.035,1.475,3596,
R101,81,30,1852,1375.5400000000002,1386.9,1380.5,1.223,1.257,0.044,1.102,6080,
R101,91,32,2115,1511.7462500000008,1530.3,1522.5,1.657,2.025,0.062,7.505,13007,
R121,111,41,2488,3514.9027777777774,3547.8,3541.7000000000003,2.898,3.906,0.094,51.61,14425,
R121,121,42,2686,3783.921416666668,3843.4,3808.6,3.453,6.479,0.171,9.61,28268,
R121,131,46,2890,4115.512500000003,4184.0,4145.999999999999,4.267,6.031,0.188,124.714,34794,
R121,141,50,3140,4376.475841750841,4422.8,4400.3,5.578,5.281,0.219,12.875,28854,
