FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,
C101,101,42,825,2139.833333333333,2168.0,2152.4,1.312,1.163,0.029,2.7,3784,
C101,51,21,421,903.1666666666666,933.0000000000002,920.8000000000001,1.371,0.468,0.277,1.98,3044,
C101,61,29,535,1180.3,1184.7,1184.7,0.754,0.109,0.43,1.79,1370,
C101,71,26,572,1383.5416666666665,1411.8999999999999,1407.6000000000001,0.784,1.063,0.036,15.519,4222,
C101,81,37,666,1660.0583333333338,1695.5,1683.8999989484344,1.065,1.323,0.054,10.357,4917,
C101,91,34,720,1859.466666666666,1882.3,1878.299999656494,0.793,0.628,0.029,5.625,4798,
C121,111,45,1013,4226.575000000001,4286.1,4274.0,0.993,3.008,0.034,14.862,8014,
C121,121,52,1092,4604.044999999999,4682.8,4652.099999999999,1.321,6.716,0.041,25.412,9271,
C121,131,56,1258,4998.197756410254,5070.5,5054.7,1.672,3.317,0.044,139.309,9436,
C121,141,56,1218,5391.523958333333,5553.2,5485.1,1.876,20.682,0.051,315.52,11866,
C121,151,60,1259,5789.807777777777,5867.1,5839.1,2.195,4.453,0.048,231.868,12208,
C161,201,83,1736,14632.491666666665,14813.799998735794,14745.199999999999,5.16,19.719,0.094,270.145,16112,
C161,251,101,2226,18004.65740740741,18276.9,18171.4,8.625,44.334,0.156,1113.465,20599,
C161,301,122,2792,21766.20398148148,22053.09999447253,21932.5,15.375,48.518,0.203,1105.447,23319,
C161,351,147,3174,25039.441060606077,25319.5,25184.5,23.294,63.247,0.253,1450.663,29735,
R101,101,34,775,2005.4999999999998,2015.3999999999999,2013.0,0.681,1.317,0.026,1.749,3348,
R101,51,18,402,1125.5,1131.8999999999999,1131.1000000000001,0.216,0.182,0.019,0.518,703,
R101,61,24,501,1269.1,1270.6,1270.6,0.314,0.126,0.021,0.146,225,
R101,71,25,558,1528.7133333333334,1539.7999999999997,1536.6,0.431,0.817,0.015,1.631,2125,
R101,81,29,652,1703.1000000000001,1714.2999999999997,1707.9,0.488,0.797,0.016,0.688,2614,
R101,91,34,749,1872.909210526316,1879.0000000000002,1876.8,0.639,0.725,0.024,0.718,1788,
R121,111,39,873,4398.838888888889,4422.2,4416.5,1.015,1.11,0.031,2.906,4078,
R121,121,45,995,4748.758333333332,4774.3,4763.300000000001,1.234,1.032,0.047,2.219,4962,
R121,131,47,1077,5176.127361111113,5216.4,5196.799999999999,1.371,2.938,0.047,5.344,6917,
R121,141,50,1124,5525.258333333333,5567.500000000001,5559.9,1.75,2.344,0.047,18.032,8190,
R121,151,54,1213,5874.241458333333,5922.0,5902.299998415506,2.11,5.109,0.047,19.406,9039,
R161,201,73,1680,15975.135185185187,16066.399999999998,16021.699999999999,4.843,2.89,0.094,8.266,12408,
R161,251,95,2097,19590.455833333333,19679.300000000003,19633.0,8.234,8.702,0.14,51.178,16289,
R161,301,106,2501,23321.425062455375,23469.599996706933,23372.600000000002,13.173,20.297,0.188,64.617,23562,
R161,351,131,2987,27253.397361111118,27422.899999999994,27338.799999999996,20.891,41.868,0.266,96.453,27834,
RC101,101,38,796,2532.1000000000004,2568.1,2546.099996357224,0.752,0.478,0.027,6.6,5352,
RC101,51,20,412,1517.413888888889,1564.4,1558.1999999999998,0.235,0.666,0.022,5.683,3525,
RC101,61,24,517,1735.9500000000003,1769.9999999999998,1762.6,0.348,0.984,0.017,6.129,3095,
RC101,71,34,601,1910.2166666666665,1915.8000000000002,1915.8,0.525,0.37,0.025,2.55,1362,
RC101,81,34,708,2187.683333333333,2199.3,2199.299997480151,0.599,0.878,0.018,7.41,2380,
RC101,91,32,683,2380.758333333333,2397.5,2390.8,0.605,0.536,0.023,3.954,3108,
RC121,111,45,1015,4405.752777777779,4428.199999999999,4417.2,1.031,1.079,0.031,7.61,4454,
RC121,121,45,1039,4864.893055555556,4906.199996863246,4885.4,1.125,3.203,0.047,12.156,6731,
RC121,131,48,1096,5313.150000000002,5335.8,5332.6,1.386,1.422,0.016,15.453,5275,
RC121,141,62,1278,5613.741666666668,5648.200000000001,5628.6,2.172,3.985,0.046,17.86,7890,
RC121,151,61,1348,5998.730555555558,6048.999999999999,6020.099999999999,2.328,5.75,0.062,11.073,9949,
RC161,201,80,1704,15813.516666666661,15911.199999999999,15878.7,5.109,6.178,0.078,41.032,13315,
RC161,251,96,2140,19201.60000000001,19335.9,19272.699999999997,7.984,11.107,0.125,126.809,18999,
RC161,301,114,2560,22911.585305059514,23109.1,22967.7,14.391,45.586,0.218,93.033,21348,
RC161,351,134,2989,26757.018749999996,26865.2,26822.399999999998,21.125,22.938,0.265,145.161,25402,
X-n120-k6,120,49,1107,62120.083333333336,62562.0,62379.0,8.344,2.172,1.049,13.669,6977,
X-n157-k13,157,66,1512,56787.916666666664,56916.0,56850.999995732265,5.781,1.531,0.375,2.704,8054,
X-n181-k23,181,78,1752,59797.250000000015,60179.999985755254,59926.0,4.326,15.026,0.074,28.919,11304,
X-n219-k73,219,90,1995,119974.16666666667,120541.99999003577,120289.0,6.522,5.141,0.109,40.314,14574,
X-n237-k14,237,102,2207,126007.0914239482,126490.0,126250.0,8.344,59.165,0.125,303.961,14990,
X-n275-k28,275,102,2418,56754.368005952376,56917.0,56845.0,11.001,6.195,0.156,356.299,16101,
X-n317-k53,317,147,3110,171246.08333333334,171690.0,171481.0,21.818,1804.711,0.203,1803.788,20436,
X-n331-k15,331,144,3190,185000.27777777778,185586.0,185191.0,22.32,18.074,0.265,14.725,22711,
X-n376-k94,376,155,3499,196488.8333333333,197337.0,196861.99999950308,30.623,33.292,0.328,192.137,28641,
X-n439-k37,439,171,3926,116222.2986111111,116543.0,116367.0,42.497,24.732,0.391,71.186,30520,
X-n502-k39,502,233,5187,278332.6361111112,278591.0,278441.0,79.226,34.759,0.454,74.008,27629,
X-n548-k50,548,238,5257,294134.4027777778,294739.0,294458.0,101.954,35.641,0.546,1801.346,37974,
X-n655-k131,655,297,6543,173073.25103228225,173333.0,173172.0,172.497,76.653,0.844,151.019,43525,
X-n801-k40,801,340,7524,423892.71207264974,424575.0,424297.0,296.595,38.414,1.22,318.212,59733,
X-n856-k95,856,354,7856,240659.72088744576,241177.0,240898.0,332.48,730.681,1.338,1802.516,70072,
X-n957-k87,957,381,8748,276103.55400910386,276796.0,276389.0,446.528,284.945,1.678,1800.778,78343,
